,AreaId,Geometry
17387,229777,"MULTIPOLYGON(((-74.017713561525 40.6998336195439,-74.0168500216441 40.7009675504213,-74.0151229418823 40.7009675504213,-74.0142594020014 40.6998336195439,-74.0151229418823 40.6986996693636,-74.0168500216441 40.6986996693636,-74.017713561525 40.6998336195439)))"
17388,229778,"MULTIPOLYGON(((-74.017713561525 40.7021014619957,-74.0168500216441 40.703235354267,-74.0151229418823 40.703235354267,-74.0142594020014 40.7021014619957,-74.0151229418823 40.7009675504213,-74.0168500216441 40.7009675504213,-74.017713561525 40.7021014619957)))"
17389,229779,"MULTIPOLYGON(((-74.017713561525 40.7043692272351,-74.0168500216441 40.7055030808998,-74.0151229418823 40.7055030808998,-74.0142594020014 40.7043692272351,-74.0151229418823 40.703235354267,-74.0168500216441 40.703235354267,-74.017713561525 40.7043692272351)))"
17390,229780,"MULTIPOLYGON(((-74.017713561525 40.706636915261,-74.0168500216441 40.7077707303186,-74.0151229418823 40.7077707303186,-74.0142594020014 40.706636915261,-74.0151229418823 40.7055030808998,-74.0168500216441 40.7055030808998,-74.017713561525 40.706636915261)))"
17391,229781,"MULTIPOLYGON(((-74.017713561525 40.7089045260726,-74.0168500216441 40.7100383025227,-74.0151229418823 40.7100383025227,-74.0142594020014 40.7089045260726,-74.0151229418823 40.7077707303186,-74.0168500216441 40.7077707303186,-74.017713561525 40.7089045260726)))"
17392,229782,"MULTIPOLYGON(((-74.017713561525 40.7111720596689,-74.0168500216441 40.712305797511,-74.0151229418823 40.712305797511,-74.0142594020014 40.7111720596689,-74.0151229418823 40.7100383025227,-74.0168500216441 40.7100383025227,-74.017713561525 40.7111720596689)))"
17393,229783,"MULTIPOLYGON(((-74.017713561525 40.713439516049,-74.0168500216441 40.7145732152828,-74.0151229418823 40.7145732152828,-74.0142594020014 40.713439516049,-74.0151229418823 40.712305797511,-74.0168500216441 40.712305797511,-74.017713561525 40.713439516049)))"
17394,229784,"MULTIPOLYGON(((-74.017713561525 40.7157068952121,-74.0168500216441 40.7168405558369,-74.0151229418823 40.7168405558369,-74.0142594020014 40.7157068952121,-74.0151229418823 40.7145732152828,-74.0168500216441 40.7145732152828,-74.017713561525 40.7157068952121)))"
17395,229785,"MULTIPOLYGON(((-74.017713561525 40.7179741971571,-74.0168500216441 40.7191078191726,-74.0151229418823 40.7191078191726,-74.0142594020014 40.7179741971571,-74.0151229418823 40.7168405558369,-74.0168500216441 40.7168405558369,-74.017713561525 40.7179741971571)))"
17396,229786,"MULTIPOLYGON(((-74.017713561525 40.7202414218832,-74.0168500216441 40.7213750052889,-74.0151229418823 40.7213750052889,-74.0142594020014 40.7202414218832,-74.0151229418823 40.7191078191726,-74.0168500216441 40.7191078191726,-74.017713561525 40.7202414218832)))"
17397,229787,"MULTIPOLYGON(((-74.017713561525 40.7225085693895,-74.0168500216441 40.7236421141849,-74.0151229418823 40.7236421141849,-74.0142594020014 40.7225085693895,-74.0151229418823 40.7213750052889,-74.0168500216441 40.7213750052889,-74.017713561525 40.7225085693895)))"
17398,229788,"MULTIPOLYGON(((-74.017713561525 40.7247756396749,-74.0168500216441 40.7259091458596,-74.0151229418823 40.7259091458596,-74.0142594020014 40.7247756396749,-74.0151229418823 40.7236421141849,-74.0168500216441 40.7236421141849,-74.017713561525 40.7247756396749)))"
17399,229789,"MULTIPOLYGON(((-74.017713561525 40.7270426327387,-74.0168500216441 40.7281761003121,-74.0151229418823 40.7281761003121,-74.0142594020014 40.7270426327387,-74.0151229418823 40.7259091458596,-74.0168500216441 40.7259091458596,-74.017713561525 40.7270426327387)))"
17400,229790,"MULTIPOLYGON(((-74.017713561525 40.7293095485798,-74.0168500216441 40.7304429775416,-74.0151229418823 40.7304429775416,-74.0142594020014 40.7293095485798,-74.0151229418823 40.7281761003121,-74.0168500216441 40.7281761003121,-74.017713561525 40.7293095485798)))"
17401,229791,"MULTIPOLYGON(((-74.017713561525 40.7315763871974,-74.0168500216441 40.7327097775471,-74.0151229418823 40.7327097775471,-74.0142594020014 40.7315763871974,-74.0151229418823 40.7304429775416,-74.0168500216441 40.7304429775416,-74.017713561525 40.7315763871974)))"
17402,229792,"MULTIPOLYGON(((-74.017713561525 40.7338431485906,-74.0168500216441 40.7349765003277,-74.0151229418823 40.7349765003277,-74.0142594020014 40.7338431485906,-74.0151229418823 40.7327097775471,-74.0168500216441 40.7327097775471,-74.017713561525 40.7338431485906)))"
17403,229793,"MULTIPOLYGON(((-74.017713561525 40.7361098327584,-74.0168500216441 40.7372431458824,-74.0151229418823 40.7372431458824,-74.0142594020014 40.7361098327584,-74.0151229418823 40.7349765003277,-74.0168500216441 40.7349765003277,-74.017713561525 40.7361098327584)))"
17404,229794,"MULTIPOLYGON(((-74.017713561525 40.7383764396998,-74.0168500216441 40.7395097142104,-74.0151229418823 40.7395097142104,-74.0142594020014 40.7383764396998,-74.0151229418823 40.7372431458824,-74.0168500216441 40.7372431458824,-74.017713561525 40.7383764396998)))"
17405,229795,"MULTIPOLYGON(((-74.017713561525 40.7406429694141,-74.0168500216441 40.7417762053108,-74.0151229418823 40.7417762053108,-74.0142594020014 40.7406429694141,-74.0151229418823 40.7395097142104,-74.0168500216441 40.7395097142104,-74.017713561525 40.7406429694141)))"
17406,229796,"MULTIPOLYGON(((-74.017713561525 40.7429094219003,-74.0168500216441 40.7440426191826,-74.0151229418823 40.7440426191826,-74.0142594020014 40.7429094219003,-74.0151229418823 40.7417762053108,-74.0168500216441 40.7417762053108,-74.017713561525 40.7429094219003)))"
17407,229797,"MULTIPOLYGON(((-74.017713561525 40.7451757971575,-74.0168500216441 40.7463089558248,-74.0151229418823 40.7463089558248,-74.0142594020014 40.7451757971575,-74.0151229418823 40.7440426191826,-74.0168500216441 40.7440426191826,-74.017713561525 40.7451757971575)))"
17408,229798,"MULTIPOLYGON(((-74.017713561525 40.7474420951846,-74.0168500216441 40.7485752152367,-74.0151229418823 40.7485752152367,-74.0142594020014 40.7474420951846,-74.0151229418823 40.7463089558248,-74.0168500216441 40.7463089558248,-74.017713561525 40.7474420951846)))"
17409,229799,"MULTIPOLYGON(((-74.017713561525 40.749708315981,-74.0168500216441 40.7508413974173,-74.0151229418823 40.7508413974173,-74.0142594020014 40.749708315981,-74.0151229418823 40.7485752152367,-74.0168500216441 40.7485752152367,-74.017713561525 40.749708315981)))"
17410,229800,"MULTIPOLYGON(((-74.017713561525 40.7519744595455,-74.0168500216441 40.7531075023656,-74.0151229418823 40.7531075023656,-74.0142594020014 40.7519744595455,-74.0151229418823 40.7508413974173,-74.0168500216441 40.7508413974173,-74.017713561525 40.7519744595455)))"
17411,229801,"MULTIPOLYGON(((-74.017713561525 40.7542405258774,-74.0168500216441 40.7553735300808,-74.0151229418823 40.7553735300808,-74.0142594020014 40.7542405258774,-74.0151229418823 40.7531075023656,-74.0168500216441 40.7531075023656,-74.017713561525 40.7542405258774)))"
17412,229802,"MULTIPOLYGON(((-74.017713561525 40.7565065149757,-74.0168500216441 40.7576394805619,-74.0151229418823 40.7576394805619,-74.0142594020014 40.7565065149757,-74.0151229418823 40.7553735300808,-74.0168500216441 40.7553735300808,-74.017713561525 40.7565065149757)))"
17573,229963,"MULTIPOLYGON(((-74.0151229418823 40.7009675504213,-74.0142594020014 40.7021014619957,-74.0125323222396 40.7021014619957,-74.0116687823588 40.7009675504213,-74.0125323222396 40.6998336195439,-74.0142594020014 40.6998336195439,-74.0151229418823 40.7009675504213)))"
17574,229964,"MULTIPOLYGON(((-74.0151229418823 40.703235354267,-74.0142594020014 40.7043692272351,-74.0125323222396 40.7043692272351,-74.0116687823588 40.703235354267,-74.0125323222396 40.7021014619957,-74.0142594020014 40.7021014619957,-74.0151229418823 40.703235354267)))"
17575,229965,"MULTIPOLYGON(((-74.0151229418823 40.7055030808998,-74.0142594020014 40.706636915261,-74.0125323222396 40.706636915261,-74.0116687823588 40.7055030808998,-74.0125323222396 40.7043692272351,-74.0142594020014 40.7043692272351,-74.0151229418823 40.7055030808998)))"
17576,229966,"MULTIPOLYGON(((-74.0151229418823 40.7077707303186,-74.0142594020014 40.7089045260726,-74.0125323222396 40.7089045260726,-74.0116687823588 40.7077707303186,-74.0125323222396 40.706636915261,-74.0142594020014 40.706636915261,-74.0151229418823 40.7077707303186)))"
17577,229967,"MULTIPOLYGON(((-74.0151229418823 40.7100383025227,-74.0142594020014 40.7111720596689,-74.0125323222396 40.7111720596689,-74.0116687823588 40.7100383025227,-74.0125323222396 40.7089045260726,-74.0142594020014 40.7089045260726,-74.0151229418823 40.7100383025227)))"
17578,229968,"MULTIPOLYGON(((-74.0151229418823 40.712305797511,-74.0142594020014 40.713439516049,-74.0125323222396 40.713439516049,-74.0116687823588 40.712305797511,-74.0125323222396 40.7111720596689,-74.0142594020014 40.7111720596689,-74.0151229418823 40.712305797511)))"
17579,229969,"MULTIPOLYGON(((-74.0151229418823 40.7145732152828,-74.0142594020014 40.7157068952121,-74.0125323222396 40.7157068952121,-74.0116687823588 40.7145732152828,-74.0125323222396 40.713439516049,-74.0142594020014 40.713439516049,-74.0151229418823 40.7145732152828)))"
17580,229970,"MULTIPOLYGON(((-74.0151229418823 40.7168405558369,-74.0142594020014 40.7179741971571,-74.0125323222396 40.7179741971571,-74.0116687823588 40.7168405558369,-74.0125323222396 40.7157068952121,-74.0142594020014 40.7157068952121,-74.0151229418823 40.7168405558369)))"
17581,229971,"MULTIPOLYGON(((-74.0151229418823 40.7191078191726,-74.0142594020014 40.7202414218832,-74.0125323222396 40.7202414218832,-74.0116687823588 40.7191078191726,-74.0125323222396 40.7179741971571,-74.0142594020014 40.7179741971571,-74.0151229418823 40.7191078191726)))"
17582,229972,"MULTIPOLYGON(((-74.0151229418823 40.7213750052889,-74.0142594020014 40.7225085693895,-74.0125323222396 40.7225085693895,-74.0116687823588 40.7213750052889,-74.0125323222396 40.7202414218832,-74.0142594020014 40.7202414218832,-74.0151229418823 40.7213750052889)))"
17583,229973,"MULTIPOLYGON(((-74.0151229418823 40.7236421141849,-74.0142594020014 40.7247756396749,-74.0125323222396 40.7247756396749,-74.0116687823588 40.7236421141849,-74.0125323222396 40.7225085693895,-74.0142594020014 40.7225085693895,-74.0151229418823 40.7236421141849)))"
17584,229974,"MULTIPOLYGON(((-74.0151229418823 40.7259091458596,-74.0142594020014 40.7270426327387,-74.0125323222396 40.7270426327387,-74.0116687823588 40.7259091458596,-74.0125323222396 40.7247756396749,-74.0142594020014 40.7247756396749,-74.0151229418823 40.7259091458596)))"
17585,229975,"MULTIPOLYGON(((-74.0151229418823 40.7281761003121,-74.0142594020014 40.7293095485798,-74.0125323222396 40.7293095485798,-74.0116687823588 40.7281761003121,-74.0125323222396 40.7270426327387,-74.0142594020014 40.7270426327387,-74.0151229418823 40.7281761003121)))"
17586,229976,"MULTIPOLYGON(((-74.0151229418823 40.7304429775416,-74.0142594020014 40.7315763871974,-74.0125323222396 40.7315763871974,-74.0116687823588 40.7304429775416,-74.0125323222396 40.7293095485798,-74.0142594020014 40.7293095485798,-74.0151229418823 40.7304429775416)))"
17587,229977,"MULTIPOLYGON(((-74.0151229418823 40.7327097775471,-74.0142594020014 40.7338431485906,-74.0125323222396 40.7338431485906,-74.0116687823588 40.7327097775471,-74.0125323222396 40.7315763871974,-74.0142594020014 40.7315763871974,-74.0151229418823 40.7327097775471)))"
17588,229978,"MULTIPOLYGON(((-74.0151229418823 40.7349765003277,-74.0142594020014 40.7361098327584,-74.0125323222396 40.7361098327584,-74.0116687823588 40.7349765003277,-74.0125323222396 40.7338431485906,-74.0142594020014 40.7338431485906,-74.0151229418823 40.7349765003277)))"
17589,229979,"MULTIPOLYGON(((-74.0151229418823 40.7372431458824,-74.0142594020014 40.7383764396998,-74.0125323222396 40.7383764396998,-74.0116687823588 40.7372431458824,-74.0125323222396 40.7361098327584,-74.0142594020014 40.7361098327584,-74.0151229418823 40.7372431458824)))"
17590,229980,"MULTIPOLYGON(((-74.0151229418823 40.7395097142104,-74.0142594020014 40.7406429694141,-74.0125323222396 40.7406429694141,-74.0116687823588 40.7395097142104,-74.0125323222396 40.7383764396998,-74.0142594020014 40.7383764396998,-74.0151229418823 40.7395097142104)))"
17591,229981,"MULTIPOLYGON(((-74.0151229418823 40.7417762053108,-74.0142594020014 40.7429094219003,-74.0125323222396 40.7429094219003,-74.0116687823588 40.7417762053108,-74.0125323222396 40.7406429694141,-74.0142594020014 40.7406429694141,-74.0151229418823 40.7417762053108)))"
17592,229982,"MULTIPOLYGON(((-74.0151229418823 40.7440426191826,-74.0142594020014 40.7451757971575,-74.0125323222396 40.7451757971575,-74.0116687823588 40.7440426191826,-74.0125323222396 40.7429094219003,-74.0142594020014 40.7429094219003,-74.0151229418823 40.7440426191826)))"
17593,229983,"MULTIPOLYGON(((-74.0151229418823 40.7463089558248,-74.0142594020014 40.7474420951846,-74.0125323222396 40.7474420951846,-74.0116687823588 40.7463089558248,-74.0125323222396 40.7451757971575,-74.0142594020014 40.7451757971575,-74.0151229418823 40.7463089558248)))"
17594,229984,"MULTIPOLYGON(((-74.0151229418823 40.7485752152367,-74.0142594020014 40.749708315981,-74.0125323222396 40.749708315981,-74.0116687823588 40.7485752152367,-74.0125323222396 40.7474420951846,-74.0142594020014 40.7474420951846,-74.0151229418823 40.7485752152367)))"
17595,229985,"MULTIPOLYGON(((-74.0151229418823 40.7508413974173,-74.0142594020014 40.7519744595455,-74.0125323222396 40.7519744595455,-74.0116687823588 40.7508413974173,-74.0125323222396 40.749708315981,-74.0142594020014 40.749708315981,-74.0151229418823 40.7508413974173)))"
